Business Name,City,Phone,Email,Website,Region,Status,Notes
Fordham Marble,Stamford,(203) 348-5088,,fordhammarble.com,Fairfield County,Not Called,421 Fairfield Ave Stamford CT 06902. Premier fabricator since 1905.
Tristone Marble and Granite,Stamford,(203) 353-8418,,tristonemarbleandgranite.com,Fairfield County,Not Called,11 St Marys St Stamford CT 06902
Dushi Marble & Granite,Stamford,(203) 978-0038,,dushimg.com,Fairfield County,Not Called,12 Largo Dr Stamford CT 06907
Timeless Stone CT (Stamford),Stamford,(203) 504-8654,,timeless-stonect.com,Fairfield County,Not Called,54 & 64 Research Dr Stamford CT 06906. Multiple CT showrooms.
Premier Marble Granite & Tile,Stamford,(203) 274-6422,,,Fairfield County,Not Called,249 Greenwich Ave Stamford CT 06902. 15+ years manufacturing quartz marble granite.
Quality Marble Fabrication Restoration,Stamford,(203) 504-2900,,,Fairfield County,Not Called,60 Bonner St Stamford CT 06902. Leading marble and stone company Fairfield and Westchester Counties.
Marble Wizards LLC,Stamford,(203) 487-0108,,,Fairfield County,Not Called,117 Henry St Stamford CT 06902. Custom fabrication and installation natural stone surfaces 15+ years.
Stone Techniques,Norwalk,(203) 642-3220,,stone-techniques.com,Fairfield County,Not Called,349 Martin Luther King Dr Norwalk CT 06854
Stepping Stones Marble & Granite,Norwalk,(203) 854-0552,,,Fairfield County,Not Called,4 Taft St Norwalk CT 06854
Casatelli Marble and Tile Imports,Norwalk,(203) 847-6880,,casatellimarbleandtile.com,Fairfield County,Not Called,34 Riverside Ave Norwalk CT 06850. Tile granite and marble store serving Stamford Greenwich area.
Bruce's Marble & Granite,Norwalk,(203) 853-8100,,brucemarble.com,Fairfield County,Not Called,57 Chestnut St Norwalk CT 06854
Norwalk Marble & Granite,Norwalk,(203) 952-7449,,,Fairfield County,Not Called,50 Commerce St Norwalk CT 06850
Classic Stones,Norwalk,,,,Fairfield County,Not Called,classicstones.com - marble installation Norwalk CT
Douro Granite & Marble,Danbury,(203) 792-0800,,dourogranitedanbury.com,Fairfield County,Not Called,28 Federal Rd Danbury CT 06810. Founded 2001.
Douro Granite & Marble (Ridgefield),Ridgefield,(203) 438-9338,,dourogranitedanbury.com,Fairfield County,Not Called,5 Danbury Rd Ridgefield CT 06877. Tile shop and showroom.
G&R Fabrication,Danbury,(203) 313-0764,,gandrfabrication.com,Fairfield County,Not Called,128 Federal Rd Danbury CT 06811
All Granite & Marble Corporation,Danbury,(203) 798-7700,,,Fairfield County,Not Called,82 Mill Plain Rd Danbury CT 06811
U.S. Granite,Danbury,(203) 743-1124,,usgraniteinc.com,Fairfield County,Not Called,39 Newtown Rd Danbury CT 06810
Omega Quartz and Granite,Danbury,(203) 778-1501,,omegagranite.com,Fairfield County,Not Called,4 Mill Plain Rd Danbury CT 06810. 20+ years experience.
Stone Resources CT,Danbury,,,,Fairfield County,Not Called,stoneresourcesct.com - 40 Juniper Ridge Dr Danbury CT
Timeless Stone CT (Danbury),Danbury,(203) 743-1124,,timeless-stonect.com,Fairfield County,Not Called,39 Newtown Rd Danbury CT 06810. Full fabrication shop and indoor slab yard.
Academy Marble,Bethel,(203) 791-2956,,academy-marble.com,Fairfield County,Not Called,101 Wooster St Unit C Bethel CT 06801
JCS Marble & Granite,Bethel,(203) 873-7719,,jcsmarbleandgranite.com,Fairfield County,Not Called,155 Greenwood Ave Unit E102 Bethel CT 06801. Master fabricators.
Venezia Marble,Ridgefield,(203) 544-7625,,veneziamarble.com,Fairfield County,Not Called,197 Ethan Allen Hwy Rte 7 Ridgefield CT 06877. Family-owned since 2008.
La Pietra Custom Marble & Granite,Brookfield,(203) 775-6162,,lapietramarble.com,Fairfield County,Not Called,1106 Federal Rd Brookfield CT 06804. Also has Ridgefield location.
Marble & Granite Creations,New Milford,(860) 350-1306,,marbleandgranitecreationsllc.com,Fairfield County,Not Called,5 Danbury Rd New Milford CT 06776
JF Granite & Marble,New Milford,(860) 355-4414,,jfgranitemarble.com,Fairfield County,Not Called,27 Pickett District Rd New Milford CT 06776
Connecticut Marble & Granite (New Milford),New Milford,(203) 947-8692,,,Fairfield County,Not Called,511 Danbury Rd New Milford CT 06766
Angelo's Marble & Granite,Bridgeport,(203) 428-5474,,angelosmarbleandgranite.net,Fairfield County,Not Called,233 Asylum St Bridgeport CT 06610
Fairfield County Granite,Bridgeport,(203) 367-4757,,,Fairfield County,Not Called,541 Central Ave Bridgeport CT 06607
The Stone Workshop,Bridgeport,(203) 275-8586,,thestoneworkshop.com,Fairfield County,Not Called,1108 Railroad Ave Bridgeport CT 06605
Double A Stone,Bridgeport,(203) 275-8253,,,Fairfield County,Not Called,886 Seaview Ave Bridgeport CT 06607
Marble and Granite Concepts,Bridgeport,(203) 870-6873,,ctcountertopstore.com,Fairfield County,Not Called,237 Asylum St Bridgeport CT 06610. 3-day turnaround.
US Marble and Granite,Bridgeport,,,,Fairfield County,Not Called,34 Edgewood St Bridgeport CT 06605. In business since 1998.
Fair Marble LLC,Bridgeport,(203) 362-5502,,fairmarble.com,Fairfield County,Not Called,261 River St Bridgeport CT 06604
Ultimate Stone Marble Granite Fabrication,Bridgeport,(203) 952-6617,,,Fairfield County,Not Called,39 Thorme St Bridgeport CT 06606
European Granite & Marble,Bridgeport,(203) 366-8600,,egmsurfaces.com,Fairfield County,Not Called,1100 Boston Ave Bridgeport CT 06610
Ontra Stone Concepts,Bridgeport,(203) 367-4757,,ontrastone.com,Fairfield County,Not Called,541 Central Ave Bridgeport CT 06607. Certified natural stone inspectors.
Stonehenge Marble & Granite,Stratford,(203) 377-1962,,,Fairfield County,Not Called,816 Honeyspot Rd Stratford CT 06615
Marble Design & Renovation,Oxford,(203) 501-2577,,marbledesignllc.com,Fairfield County,Not Called,365 Christian St Oxford CT 06478. Fabrication and installation.
JRL Granite & Marble,Danbury,(203) 898-3360,,jrlgranitemarble.com,Fairfield County,Not Called,38 Triangle St Danbury CT 06810. Family-owned 19+ years.
Countertops by Starian,Danbury,(203) 743-6808,,stariancountertops.com,Fairfield County,Not Called,92 North St Danbury CT 06810. In business since 1992.
Artisan Countertops,Westport,(203) 557-3608,,,Fairfield County,Not Called,1252 Post Road East Westport CT 06880. Granite marble quartz stone fabricator.
Stepping Stones Marble & Granite (Westport),Westport,(203) 293-4794,,classicstones.com,Fairfield County,Not Called,420 Post Road West Westport CT 06880. 30+ years. 30000 sq ft stone slab selection and fabrication.
Gault Stone,Westport,(203) 227-5181,,gaultstone.com,Fairfield County,Not Called,11 Ferry Ln West Westport CT 06880. One of largest stone selections in New England. Custom fabrication. Also has Bethel location.
Diversified Kitchens LLC,Shelton,(203) 944-0055,,diversifiedkitchensllc.com,Fairfield County,Not Called,43 Huntington St Shelton CT 06484. Custom countertop and cabinet fabricator.
American Flag Granite & Stone,Beacon Falls,(203) 723-2268,,americanflagstones.com,New Haven,Not Called,141 S Main St Beacon Falls CT 06403
Creative Stone LLC,New Haven,(203) 624-1882,,creativestonect.com,New Haven,Not Called,320 James St New Haven CT 06513. Family-owned since 1998.
Centennial Tile & Marble,New Haven,(203) 404-0771,,centennialct.com,New Haven,Not Called,72 Middletown Ave New Haven CT 06513
Elemar New England Marble & Granite,New Haven,(203) 782-3544,,elemarinventory.com,New Haven,Not Called,99 Shelton Ave New Haven CT 06511. Wholesale slab distributor and fabricator since 2002.
Stone Lab Surfaces,Hamden,(203) 507-2175,,stonelabct.com,New Haven,Not Called,23 Raccio Park Rd Hamden CT 06514
The Stone Factory,Orange,(203) 795-7090,,thestonefactory.net,New Haven,Not Called,55 Connair Rd Orange CT 06477
Pro Counters New England,Ansonia,(203) 347-0045,,procountersne.com,New Haven,Not Called,1 Chestnut St Ansonia CT 06401
Central Marble & Granite,Ansonia,(203) 734-4644,,centralmarbleandgranite.com,New Haven,Not Called,22 Maple St Ansonia CT 06401. In business since 1997.
Vita Marble & Granite,Naugatuck,(203) 439-4109,,vitagranite.com,New Haven,Not Called,51 Elm St Naugatuck CT 06770. Family-owned.
Eastern Marble & Granite,Milford,(203) 882-8221,,easternmandg.com,New Haven,Not Called,201 Buckingham Ave Milford CT 06460
Galaxy Stone,Milford,(203) 874-6400,,milfordstone.net,New Haven,Not Called,80 Wampus Ln Milford CT 06460. 25+ years family-owned.
Marble & Granite Inc,Milford,(203) 876-8195,,marbleandgranite.com,New Haven,Not Called,125 Old Gate Ln Suite 8 Milford CT 06460
Shoreline Marble & Granite,North Branford,(203) 481-4600,,,New Haven,Not Called,46 Ciro Rd North Branford CT 06471
Affordable Granite,North Haven,(203) 859-5514,,,New Haven,Not Called,11 Leonardo Dr North Haven CT 06473
Granite Group (North Haven),North Haven,(203) 281-7634,,,New Haven,Not Called,300 Sackett Point Rd North Haven CT 06473
Discover Marble & Granite,Wallingford,(877) 411-9900,,,New Haven,Not Called,2 Northrup Rd Wallingford CT 06492
Elevated Marble & Granite,Wallingford,,,elevatedgranite.com,New Haven,Not Called,43 Capital Dr Wallingford CT 06492
Premier Stone Products,Killingworth,(860) 452-4432,,premierstoneproducts.com,New Haven,Not Called,157 Route 81 Killingworth CT 06419. Serves Shoreline - Madison Clinton Old Saybrook.
Monarch Tile Marble & Granite,Waterbury,(203) 575-9543,,monarchgranite.com,New Haven,Not Called,1720 D Baldwin St Waterbury CT 06706
Sando Marble & Granite,Meriden,(203) 440-4294,,sandomarbleandgranite.com,New Haven,Not Called,443 S Colony St Meriden CT 06451
GB Marble & Granite,West Haven,(203) 891-7553,,,New Haven,Not Called,17 Mix Ave West Haven CT 06516. Custom countertop fabrication serving Greater New Haven.
Marble Granite & Fabrication Unlimited,West Haven,(203) 934-2122,,,New Haven,Not Called,136 Clark St West Haven CT 06516. Granite and marble countertop fabrication.
Maselli Marble & Granite,Hamden,(203) 248-1565,,,New Haven,Not Called,41 Bismark Ct Hamden CT 06514. Countertop fabricator serving Hamden area.
Selmas Granite & Marble Fabrication,Milford,(203) 554-0021,,selmagranite.com,New Haven,Not Called,28 Roselle St Milford CT 06461. Granite and marble countertop fabricator.
Infinity Stone Inc,Wolcott,(203) 575-9484,,,New Haven,Not Called,1261 Meriden Rd Wolcott CT 06716. Natural and engineered stone countertops.
Custom Designs LLC,Cheshire,(203) 250-7545,,,New Haven,Not Called,327 Sandbank Rd Cheshire CT 06410. Granite marble quartz fabrication.
New England Stone Inc,Milford,(203) 876-8606,,newenglandstone.com,New Haven,Not Called,35 Higgins Dr Milford CT 06460. Leader in granite marble and natural stone fabrication.
Distinctive Countertops LLC,Wallingford,(203) 265-2999,,,New Haven,Not Called,346 Quinnipiac St Wallingford CT 06492. Custom Corian granite marble and quartz countertops.
Pacific Marble & Granite,Middletown,(860) 346-1676,,pacificmarbleandgranite.net,Hartford,Not Called,48 Rappallo Ave Middletown CT 06457
Cortina Tile & Marble,Middletown,(860) 346-1648,,,Hartford,Not Called,48 Rappallo Ave Middletown CT 06457. Related to Pacific Marble.
Ambiance Stone,Berlin,(860) 357-3183,,ambiancestone.com,Hartford,Not Called,239 Christian Ln Berlin CT 06037. Full fabrication facility. Serves Hartford and New Haven counties.
Hartford Granite & Marble Company,Hartford,(860) 249-2333,,hartfordgraniteandmarble.com,Hartford,Not Called,311 Murphy Rd Hartford CT 06114
Pistritto Marble Imports,Hartford,(860) 296-5263,,pistrittomarble.com,Hartford,Not Called,97 Airport Rd Hartford CT 06114. Family-owned since 1978.
International Marble & Granite Enterprises,Hartford,(860) 215-2090,,imagestonecenter.com,Hartford,Not Called,110 Airport Rd Hartford CT 06114
Connecticut Granite & Marble,Hartford,,,,Hartford,Not Called,connecticutgranitemarble.com - warehouse and showroom Hartford CT
Stone Valley Granite & Marble,New Britain,(860) 505-8856,,stonevalleygranite.com,Hartford,Not Called,60 Wooster St New Britain CT 06052. 10000 sq ft fabrication shop.
New England Granite & Cabinets,West Hartford,(860) 310-2981,,negranitecabinets.com,Hartford,Not Called,8 Cody St West Hartford CT 06110
GLC Stone Granite & Marble,Canton,(860) 987-3107,,glcstone.com,Hartford,Not Called,5 Albany Turnpike Unit B4 Canton CT
E.W. Granite & Marble,Farmington,(860) 674-0853,,ewgraniteandmarble.com,Hartford,Not Called,1547 New Britain Ave Farmington CT 06032
G & F Marble Granite & Tile,Farmington,(860) 409-2160,,gfmarbleandgranite.com,Hartford,Not Called,168 Brickyard Rd Farmington CT 06032. 20+ years family business.
Timeless Stone CT (Bloomfield),Bloomfield,(860) 242-3300,,timeless-stonect.com,Hartford,Not Called,10 Northwood Dr Bloomfield CT 06002. Full fabrication shop.
Timeless Stone CT (Cromwell),Cromwell,(860) 613-5536,,timeless-stonect.com,Hartford,Not Called,229 Shunpike Rd Cromwell CT 06416. Full fabrication shop.
Cromwell Granite & Tile,Cromwell,(860) 613-5536,,cromwellgranite.com,Hartford,Not Called,229 Shunpike Rd Cromwell CT 06416
CT Hardrock Marble & Granite,Cromwell,(860) 296-7037,,cthardrockllc.com,Hartford,Not Called,4 Alcap Ridge Cromwell CT 06416. One of CT's largest countertop installers.
Zavarella Granite & Marble,Newington,(860) 667-7711,,zavarellagraniteandmarble.com,Hartford,Not Called,3318 Berlin Tpke Newington CT 06111
Catskill Granite Countertops,Newington,(860) 667-1555,,catskillgranite.com,Hartford,Not Called,156A Pane Rd Newington CT 06111. Opened 2006.
All Granite & Marble CT,Newington,(860) 521-5121,,,Hartford,Not Called,30 Holmes Rd Newington CT 06111
Sudbury Granite & Marble,Newington,(860) 521-5121,,sudburygranite.com,Hartford,Not Called,30 Holmes Rd Newington CT 06111
Global Granite & Marble,Newington,(860) 667-7711,,,Hartford,Not Called,3320 Berlin Tpke Newington CT 06111
Pioneer Stone Works,Newington,(860) 712-9163,,pioneerstoneworks.com,Hartford,Not Called,720 N Mountain Rd Newington CT 06111
Gothic Marble & Granite,Southington,(860) 329-0193,,gothicmg.com,Hartford,Not Called,43 Aircraft Rd Southington CT 06489
Granitech LLC,Plantsville,(860) 620-1733,,gogranitech.com,Hartford,Not Called,409 Canal St Unit 11B Plantsville CT 06479. Centrally located Southington area.
Marco Jette LLC,Durham,(860) 398-5452,,marbleandgranitecounters.com,Hartford,Not Called,45 Ozick Dr Unit 1 Durham CT 06422. Artisan stone craftsmen est 1999.
Rosania Stone Designs,Plainville,(860) 410-4291,,rosaniastonedesigns.com,Hartford,Not Called,355 Farmington Ave Plainville CT 06062. 30+ years experience.
Continental Marble & Granite,Plainville,(860) 793-2767,,continentalmarble.com,Hartford,Not Called,20 Hultenius St Plainville CT 06062
Verona Connecticut Granite & Marble,Plainville,(860) 747-0218,,veronactgranitemarble.com,Hartford,Not Called,161 Woodford Ave Ste 48 Plainville CT 06062
Celtic Granite,Plainville,(860) 919-6233,,,Hartford,Not Called,Plainville CT 06062
The Granite City,East Hartford,(860) 904-5585,,granitecityct.com,Hartford,Not Called,22 Rumsey Rd East Hartford CT 06108. Premier manufacturer and installer.
Dimensional Stone Fabricators,East Hartford,(860) 214-2674,,,Hartford,Not Called,1288 Main St East Hartford CT 06108
Granite & Kitchen Studio,South Windsor,(860) 290-4444,,granitekitchenstudio.com,Hartford,Not Called,313 Pleasant Valley Rd South Windsor CT 06074
IGM Surfaces,Windsor,(860) 298-0368,,igmsurfaces.com,Hartford,Not Called,800 Marshall Phelps Rd Windsor CT 06095. Premium natural and engineered stone surfaces.
Dracula Marble & Granite,Windsor Locks,(860) 292-1467,,draculagranite.com,Hartford,Not Called,59A King Spring Rd Windsor Locks CT 06096. Family-owned since 1999.
TNB Marble & Granite,Hartford,(860) 296-7037,,tnbmarblengranitellc.com,Hartford,Not Called,237 Ledyard St Hartford CT 06114. Established 2009.
Modern Counter Tops & Cabinets,Bristol,(860) 583-9190,,moderncabinets.com,Hartford,Not Called,450 Riverside Ave Bristol CT 06010. Family-run since 1972. Full fabrication shop.
Milestone II,Thomaston,(860) 283-1400,,ctcustomstone.com,Northwest CT,Not Called,33 River St Unit D Thomaston CT 06787. 35+ years experience.
King Stone Fabrications,Canaan,(860) 824-4706,,,Northwest CT,Not Called,35 Old Turnpike Rd South Canaan CT 06018. Serves Winsted and Torrington area.
O&G Torrington Quarry,Torrington,(860) 485-6600,,,Northwest CT,Not Called,255 Lower Bogue Rd Torrington CT 06790. Granite countertops and stone materials.
Salem Stone Design,Waterford,(860) 439-1234,,salemstonedesign.com,Eastern CT,Not Called,18A Industrial Dr Waterford CT 06385
Connecticut Soapstone,Willimantic,(860) 456-7627,,ctsoapstone.com,Eastern CT,Not Called,22 Vermont Dr Willimantic CT 06226. Premier soapstone fabricator New England.
LSC Marble & Granite,Danielson,(860) 774-0046,,lscgranite.com,Eastern CT,Not Called,574 Westcott Rd Danielson CT 06239
Granite Group (Norwich),Norwich,(860) 887-3571,,,Eastern CT,Not Called,47 New London Tpke Norwich CT 06360
Granite Group (New London),New London,(860) 442-2015,,,Eastern CT,Not Called,75 Jefferson Ave New London CT 06320
Granite Group (Colchester),Colchester,(860) 537-7600,,,Eastern CT,Not Called,464 South Main St Colchester CT 06415
Granite Group (Putnam),Putnam,,,thegranitegroup.com,Eastern CT,Not Called,71 Front St Putnam CT
Mystic Coastal Flooring,Stonington,(860) 536-9466,,mysticcoastalflooring.com,Eastern CT,Not Called,19 Old Stonington Rd Stonington CT 06378. Offers stone countertops.
Old Lyme Stone,Old Lyme,(860) 434-2121,,,Eastern CT,Not Called,7 Halls Rd Old Lyme CT 06371. Custom tile and stone countertops.
Atlantic Building Products,East Lyme,(860) 739-8787,,atlanticbuildingpro.com,Eastern CT,Not Called,206 Boston Post Rd East Lyme CT 06333. Stone countertops and building materials.
Granite Group (Plainfield),Plainfield,(860) 564-3363,,thegranitegroup.com,Eastern CT,Not Called,873 Norwich Rd Plainfield CT 06374. Stone countertop sales and fabrication.
Getty Granite Company,Salem,(860) 859-2972,,gettygranite.com,Eastern CT,Not Called,120 East Haddam Rd Salem CT 06420. Custom granite countertops and stone surfaces.
