Business Name,City,Phone,Cell,Contact Name,Email,Website,Region,Status,Notes
K&B Granite & Marble,Peabody,9785364434,,,info@kbgranite.com,kbgranite.com,North Shore,Not Called,288 Newbury St Peabody
Granite Plus,Chelmsford,9786777540,,,info@granitepluscounters.com,granitepluscounters.com,Merrimack Valley,Not Called,Serves 140+ communities Greater Boston and Merrimack Valley
Pablo Marble and Granite,Woburn,7816962990,,,,pablomarbleandgranite.com,Greater Boston,Not Called,10 Breed Ave Woburn
Stone Surfaces,Woburn,7812704600,,,sales@stonesurfacesinc.net,stonesurfacesinc.net,Greater Boston,Not Called,275 Salem St Woburn - custom stone countertops residential commercial
International Stone,Woburn,7819373300,,,salvatore@internationalstoneinc.com,internationalstoneinc.com,Greater Boston,Not Called,10 Ryan Rd Woburn
Granite Countertop Pro,Wilmington,9782030305,,,granitecountertopspro@gmail.com,granitecountertoppro.com,Greater Boston,Not Called,200 Andover St Wilmington
MGI Marble & Granite International,Waltham,7816471979,,,info@mgiboston.com,mgiboston.com,Greater Boston,Not Called,99 Hammond St Waltham
LaFauci Tile and Marble,Watertown,6179248453,,Anthony LaFauci,Info@LaFauciTile.com,lafaucitile.com,Greater Boston,Not Called,Serves Watertown Wellesley Waltham Cambridge Belmont
Boston Stone Works,Quincy,6178922795,,,,bostonstoneworks.com,Greater Boston,Not Called,
Tucceri Granite Restoration,Tewksbury,9788864648,,,info@granite-restoration.com,granite-restoration.com,Greater Boston,Not Called,Serves Medford Malden Somerville Revere Cambridge
GC Granite & Tile,Milford,5089632794,,,info@gcgraniteandtile.com,gcgraniteandtile.com,Metro West,Not Called,49 1/2 Sumner St Milford
Platinum Granite & Marble,Abington,7814365883,,,Platinumgranitemarble@gmail.com,platinumgranitemarble.com,South Shore,Not Called,1195 Bedford St Abington - natural stone and quartz manufacturing
Mass Granite & Marble,Acton,9788976405,,,sales@massgranite.com,massgranite.com,Metro West,Not Called,49 Knox Trl Acton MA
New Capital Granite,Acton,6176990114,,,,newcapitalgranite.com,Metro West,Not Called,
Stone Concepts,Marlborough,9785681911,,Bill,bill@stoneconcepts.net,stoneconcepts.net,Metro West,Not Called,Serves Eastern & Central MA
Bella Marble & Granite,Milford,5088163991,,,bella1@hotmail.com,bellacountertopsma.com,Metro West,Not Called,MetroWest area
Onyx Marble and Granite,Framingham,5082907654,,,,onyxgranite.com,Metro West,Not Called,Serves Natick Newton Waltham
New View Marble and Granite,Framingham,5085413909,,,info@newviewgranite.com,newviewgranite.com,Metro West,Not Called,
OB Marble & Granite,Hopedale,5084886516,,,obmarbleandgranite@gmail.com,obmarbleandgranite.com,Metro West,Not Called,193 Irving St Framingham
Express Marble & Granite,Holliston,7742331973,,,sales@expressmarblegranite.com,expressmarblegranite.com,Metro West,Not Called,275 Hopping Brook Rd Holliston - 18+ years NE
TBR Marble & Granite,Foxborough,5085439487,,Ron,ron@tbrmarblegranite.com,tbrmarblegranite.com,South,Not Called,9200 sqft facility since 1985. Serves Attleboro Mansfield Norton Easton
Cornerstone Marble & Granite,Taunton,5088220400,,,nj.cornerstone@outlook.com,cornerstonemarbleandgranite.com,South,Not Called,988 Crane Ave South Taunton
Evolution Granite Marble Quartz,Taunton,7744517998,,,,evolutiongranitemarble.com,South,Not Called,
First Class Marble & Granite,Franklin,5085283088,,,,firstclassmarble.com,South,Not Called,60 Earls Way Franklin
Absolute Marble & Granite,Walpole,5089213228,,,,,South,Not Called,36 Production Rd Walpole
Frangioso Granite,Braintree,7818490016,,Frangioso,frangiosogranite@gmail.com,frangiosogranite.com,South Shore,Not Called,95 Grove St Braintree - custom stone fabrication
Global Granite MA,Pembroke,7812089664,,,,globalgranitemass.com,South Shore,Not Called,38 Corporate Park Dr Pembroke - 20+ years
Stone Design Pro,Weymouth,7813313000,,,sales@stonedesignpro.com,stonedesignpro.com,South Shore,Not Called,Route 18 South Weymouth - woman-owned
Holbrook Granite,Holbrook,7819865300,,,,holbrookgranite.com,South Shore,Not Called,
Skyline Granite,Raynham,5089474600,,,info@skylinegranite.com,skylinegranite.com,South Shore,Not Called,
Precision Marble & Granite,Marshfield,7814888697,,Joseph Mouzer,jmouzerprecision@gmail.com,precisionmarbleandgranite.com,South Shore,Not Called,59 Lone St Marshfield - 21+ years South Shore
StoneLink Marble & Granite,Worcester,5083930720,,,info@stonelinkcorp.com,stonelinkcorp.com,Worcester,Not Called,70 Fremont St Worcester
StoneGates Marble & Granite,Sutton,5088659800,,,sales@stonegatemg.com,stonegatemarbleandgranite.com,Worcester,Not Called,75 Worcester-Providence Turnpike Sutton
All Granite & Marble,Charlton,5082489393,,,quotes@allgranite2.com,allgranite2.com,Worcester,Not Called,379 Worcester Rd Charlton
L&M Marble and Granite,Worcester,5088396667,,,info@lmmarbleandgranite.com,lmmarbleandgranite.com,Worcester,Not Called,218 Worcester St North Grafton - ranked #2 in MA
Worcester Marble & Granite,Middleton,9787678353,,,info@wmgtops.com,wmgtops.com,Worcester,Not Called,315 N Main St Middleton
AGF Surfaces,Worcester,5087572178,,,info@agfsurfaces.com,agfsurfaces.com,Worcester,Not Called,10 Nashua St Worcester
Dimension Stone Inc,Shrewsbury,5088458060,,,info@thedimensionstone.com,thedimensionstone.com,Worcester,Not Called,567 Hartford Tpke Shrewsbury
Shrewsbury Marble & Granite,Shrewsbury,5088429800,,,shrewsburygranite@gmail.com,shrewsburymarbleandgranite.com,Worcester,Not Called,620 Boston Tpke Shrewsbury
Galaxy Granite & Marble,Shrewsbury,5086602620,,,sales@galaxygranite.com,galaxygranite.com,Worcester,Not Called,370 Hartford Tpke Shrewsbury
New England Stone Works,Shrewsbury,5089043323,,Sula,sula@newengland-stoneworks.com,newengland-stoneworks.com,Worcester,Not Called,Eastern & Central MA
Cape Cod Marble & Granite,Hyannis,5087712900,,,info@ccmarblegranite.com,capecodmarbleandgranite.com,Cape Cod,Not Called,38 Rosary Lane Hyannis - largest fabricator on Cape Cod
All Granite & Stone,Cape Cod,5083757785,,,info@allgraniteandstone.com,allgraniteandstone.com,Cape Cod,Not Called,Serves all Cape Cod towns
Global Marble & Granite,Cape Cod,5087711001,,,,globalmarbleandgraniteinc.com,Cape Cod,Not Called,Serves Cape Cod Nantucket Martha's Vineyard
Atlantic Marble & Granite,East Falmouth,5085409770,,,quotes@atlanticmarblegranite.com,atlanticmarblegranitema.com,Cape Cod,Not Called,30+ years - Cape and Islands oldest fabricator
Granite World Inc,Harwich,5084301085,,,,gwcstones.com,Cape Cod,Not Called,202 Queen Anne Rd Harwich - serves Cape & SE MA
Cape Granite Connection,Yarmouth,,,,info@capegraniteconnection.com,capegraniteconnection.com,Cape Cod,Not Called,18 Fruean Way South Yarmouth
