Business Name,City,Phone,Cell,Contact Name,Email,Website,Region,Status,Notes
EF Granite,Saugus,7816093612,,,,efgranite.com,North Shore,Follow Up,Very interested - call Monday. Contact: Wundra. 552 Lincoln Ave
Granite Brothers Saugus,,5085008739,,,,thegranitebrothers.com,North Shore,Follow Up,Reached once - interested. Contact: Ed. In Worcester
Select Marble and Granites,Everett,6179449290,,,,selectmarbleandgranite.com,Greater Boston,Follow Up,Sent link - will call. Cell: 7813166274. Contact: Carlos Ventura
Bostonean Marble & Granite,Everett,6173810400,,,,,Greater Boston,Follow Up,Too busy will look. Cell: 6178384650. Contact: Sansi Souza
Classic Rock Marble & Granite,Beverly,9783047777,,,,classicrockstones.com,North Shore,Follow Up,Emailed boss Isaias - isaias@classicrockstones.com. 110C Park St Beverly
Metropolitan,Norwood,7819498918,,,,metcabinet.com,South,Follow Up,Contact: Brian Spellman - was not in office
Direct granite countertop,Marshfield,7818378780,,,info@directgranitecountertop.com,directgranitecountertop.com,,,
NS Marble & Granite,Winthrop,8578881873,,,,,North Shore,Not Called,
Select Stone,North Billerica,,,,,houzz.com,Merrimack Valley,Not Called,7 Esquire Rd North Billerica - 20+ years experience
K&B Granite & Marble,Peabody,9785364434,,,info@kbgranite.com,kbgranite.com,North Shore,Not Called,288 Newbury St Peabody
Granite Plus,Chelmsford,9786777540,,,info@granitepluscounters.com,granitepluscounters.com,Merrimack Valley,Not Called,Serves 140+ communities Greater Boston and Merrimack Valley
Pablo Marble and Granite,Woburn,7816962990,,,ben@pablomarbleandgranite.com,pablomarbleandgranite.com,Greater Boston,Not Called,10 Breed Ave Woburn
Stone Surfaces,Woburn,7812704600,,,sales@stonesurfacesinc.net,stonesurfacesinc.net,Greater Boston,Not Called,275 Salem St Woburn - custom stone countertops residential commercial
International Stone,Woburn,7819373300,,,salvatore@internationalstoneinc.com,internationalstoneinc.com,Greater Boston,Not Called,10 Ryan Rd Woburn
Granite Countertop Pro,Wilmington,9782030305,,,granitecountertopspro@gmail.com,granitecountertoppro.com,Greater Boston,Not Called,200 Andover St Wilmington
MGI Marble & Granite International,Waltham,7816471979,,,info@mgiboston.com,mgiboston.com,Greater Boston,Not Called,99 Hammond St Waltham
Boston Granite Countertops,Belmont,,,,,houzz.com,Greater Boston,Not Called,Serves Arlington Belmont Concord Lexington Newton
LaFauci Tile and Marble,Watertown,6179248453,,Anthony LaFauci,Info@LaFauciTile.com,lafaucitile.com,Greater Boston,Not Called,Serves Watertown Wellesley Waltham Cambridge Belmont
GerrityStone,Woburn,7819381820,,,,gerritystone.com,Greater Boston,Not Called,225B Merrimac St Woburn - largest natural stone fabricator in New England 50000 sqft
Boston Stone Works,Boston,6178922795,,,,bostonstoneworks.com,Greater Boston,Not Called,
Tucceri Granite Restoration,Tewksbury,9788864648,,,info@granite-restoration.com,granite-restoration.com,Greater Boston,Not Called,Serves Medford Malden Somerville Revere Cambridge
GC Granite & Tile,Milford,5089632794,,,info@gcgraniteandtile.com,gcgraniteandtile.com,Metro West,Not Called,49 1/2 Sumner St Milford
Platinum Granite & Marble,Abington,7814365883,,,Platinumgranitemarble@gmail.com,platinumgranitemarble.com,South Shore,Not Called,1195 Bedford St Abington - natural stone and quartz manufacturing
Mass Granite & Marble,Acton,9788976405,,,sales@massgranite.com,massgranite.com,Metro West,Not Called,49 Knox Trl Acton MA
New Capital Granite,Acton,6176990114,,,,newcapitalgranite.com,Metro West,Not Called,
Stone Concepts,Marlborough,9785681911,,Bill,bill@stoneconcepts.net,stoneconcepts.net,Metro West,Not Called,Serves Eastern & Central MA
Bella Marble & Granite,Milford,5088163991,,,bella1@hotmail.com,bellacountertopsma.com,Metro West,Not Called,MetroWest area
