Business Name,City,Phone,Cell,Contact Name,Email,Website,Region,Status,Notes
Creative Stone Countertops,Pawtucket,4017232265,,,info@cscountertops.com,creativestonecountertop.com,Greater Providence,Not Called,140 Smithfield Ave Pawtucket - granite quartz marble Mon-Fri 9-5 Sat 9-1
Imperial Tile,North Providence,4017254928,,,imtile@aol.com,imtileinc.com,Greater Providence,Not Called,1006 Charles St North Providence - oldest continuously operational granite marble fabricator in RI - 62 years combined experience
Stone Depot of RI,Cranston,4017809639,,,info@stonedepotofri.com,stonedepotofri.com,Greater Providence,Not Called,940 Wellington Ave Cranston - family-owned 13+ years - granite marble quartzite soapstone quartz
Luxus Marble & Granite,Cranston,,,,,luxusgranitecountertop.com,Greater Providence,Not Called,Full fabrication showroom Cranston - natural stone countertops
EastCoast Countertops,Cranston,4012705341,,,alicea@ecct.us,eastcoastcountertop.com,Greater Providence,Not Called,159 Frances Ave Cranston - granite marble engineered stone RI & MA
Great In Counters,Providence,4012330666,,,info@greatincounters.com,greatincounters.com,Greater Providence,Not Called,100 Whipple St Providence - premier fabricator natural stone and quartz - 10+ years
Detailed Granite Surfaces,West Warwick,4014249781,,,detailedgraniteri@outlook.com,detailedgranite.com,Greater Providence,Not Called,3 Bridal Ave West Warwick
Ocean State Granite Inc,Warwick,4017391401,,,,oceanstategranite.com,Warwick,Not Called,114 Minnesota Ave Unit 3 Warwick
Cabinet & Countertop Solutions,Warwick,4017349900,,,,,Warwick,Not Called,1647 Post Rd Warwick
Rocha Marble Granite,Pawtucket,4013055234,,,,,Greater Providence,Not Called,49 Middle St Pawtucket
RI Marble & Granite Inc,Providence,4014675574,,,,marbleandgraniteofri.com,Greater Providence,Not Called,35 Terminal Rd Providence
Palace Designs Granite and Marble,Providence,4016158188,,,,palace-design.com,Greater Providence,Not Called,83 Pilsudski St Providence
Kitchen & Countertop Center of New England,Pawtucket,4017360001,,,inquiries@kccne.com,kccne.com,Greater Providence,Not Called,125 Esten Ave Pawtucket - full service kitchen and countertop center
Countertops by Superior Inc,Woonsocket,4017655533,,,info@countertopsbysuperior.com,countertopsbysuperior.com,North RI,Not Called,840 Cumberland Hill Rd Woonsocket
Northeast Marble Granite & Tile,Johnston,4019435469,,,,northeastmarbleandgranite.com,Greater Providence,Not Called,7 Joy St Johnston
KB Surfaces,North Smithfield,4017276792,,,,kbsurfaces.com,North RI,Not Called,20 Providence Pike North Smithfield - large operation serving RI and MA - 20+ years
Granite Brothers,,,,,info@thegranitebrothers.com,thegranitebrothers.com,Greater Providence,Not Called,Serves Smithfield East Providence Kingston Westerly Cranston
MB Marble & Granite,Providence,4016441813,,,mbmarble.graniteinc@gmail.com,mbmarblegranite.com,Greater Providence,Not Called,
Macera's Decorative Stone,North Scituate,4019341778,,Karen Macera,karenmacera@yahoo.com,macerastone1.com,Greater Providence,Not Called,81 Hartford Pike North Scituate
Structural Stone LLC,North Kingstown,4016674969,,,admin@structuralstonellc.com,structuralstonellc.com,South RI,Not Called,
Northeast Granite,Westerly,4017892225,,,,northeastgraniteri.com,South RI,Not Called,38 Frank Ave Westerly
The Granite Group,Westerly,4013151980,,,lwelenc@thegranitegroup.com,thegranitegroup.com,South RI,Not Called,114 Cross St Westerly
Romancing The Stone,Coventry,4016158188,,,,romancingthestoneri.com,Greater Providence,Not Called,140 Centre Of New England Blvd Coventry
Aquidneck Kitchen & Bath,Middletown,4016192624,,,,aquidneckkitchenandbath.com,Newport County,Not Called,510 East Main Rd Suite 6 Middletown
Dzyna Signature Kitchen & Bath,Portsmouth,4012935855,,Joyce,joyce@dskbri.com,dskbri.com,Newport County,Not Called,Stone countertop fabrication Portsmouth
Weatherly Tile & Stone,Portsmouth,4013385577,,,,weatherlytile.com,Newport County,Not Called,
Rissco Fabrication,Warren,4012477700,,,risscofabrication@msn.com,rissco.com,East Bay,Not Called,Warren RI location - stone countertop fabrication
Cypress Design Co,East Providence,4014385105,,,cypressdesignco@gmail.com,cypressdesignco.com,Greater Providence,Not Called,
Vieira Marble & Tile,East Providence,4014811196,,,,,Greater Providence,Not Called,
Stonetrade,North Kingstown,4018856608,,,sales@stonetrade.com,stonetrade.com,South RI,Not Called,Stone countertops East Greenwich / North Kingstown area
Design West Kitchen & Bath,Westerly,4015962979,,,Susan.DesignWest5@gmail.com,dwkitchenandbath.com,South RI,Not Called,116 Granite St Westerly
Quality Tile Co Inc,West Warwick,4018269700,,,qtci@aol.com,qualitytileri.com,Greater Providence,Not Called,69 Aster St West Warwick - stone countertop fabrication
Elmwood Countertops Inc,Cranston,4017851677,,,,elmwoodcountertop.com,Greater Providence,Not Called,
Countertop Solutions NE Inc,Cranston,4014677800,,,,,Greater Providence,Not Called,
Petra Stone RI,Cranston,4012750216,,,,,Greater Providence,Not Called,
A-Stone Inc,Johnston,4014000032,,,paula@astoneinc.com,astoneinc.com,Greater Providence,Not Called,Call to confirm still operating
Granite Guys Inc,Coventry,4016153646,,,info@thegraniteguysinc.com,graniteguysinc.com,Greater Providence,Not Called,
The Countertop Shop,Cumberland,4014750339,,,,thecountertopshopinc.com,North RI,Not Called,
The Beck Companies,North Smithfield,8008806792,,,Tracey@thebeckcompanies.org,thebeckcos.com,North RI,Not Called,Commercial/wholesale fabricator - large remnant inventory likely
Granites of America,Smithfield,4012322040,,,info@granitesofamerica.com,granitesofamerica.com,North RI,Not Called,
Greenville Kitchens & Bath,Smithfield,4012311230,,,getstarted@greenvillekb.com,greenvillekitchenandbath.com,North RI,Not Called,
DRC Cabinetry,Newport,4016191345,,,,,Newport County,Not Called,29 Memorial Blvd Newport - countertop fabrication listed on FabLocator
